                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 0.6897,                0.37863,                 1.1404,                0.96626,                0.98216,                0.98868,                0.86632,                   0.63,                0.26559,                 1.1507,                0.00505,                0.00505,                0.00505
                    102,                0.68834,                0.38211,                 1.1379,                0.96671,                0.98154,                0.98839,                0.86677,                0.63003,                0.26479,                 1.1507,              0.0050005,              0.0050005,              0.0050005
                    103,                  0.683,                0.37704,                 1.1357,                0.96719,                0.98199,                0.98846,                 0.8672,                0.63082,                0.26396,                 1.1521,               0.004951,               0.004951,               0.004951
                    104,                0.67437,                 0.3722,                 1.1341,                0.96748,                0.98195,                 0.9885,                0.86681,                0.63078,                0.26397,                 1.1527,              0.0049015,              0.0049015,              0.0049015
                    105,                 0.6836,                0.37518,                 1.1408,                0.96731,                0.98179,                 0.9885,                0.86725,                0.63031,                0.26409,                 1.1524,               0.004852,               0.004852,               0.004852
                    106,                 0.6822,                0.37856,                   1.14,                0.96752,                0.98183,                0.98853,                0.86753,                0.62974,                0.26406,                  1.152,              0.0048025,              0.0048025,              0.0048025
                    107,                0.67344,                0.36897,                 1.1309,                0.96756,                0.98154,                0.98833,                 0.8676,                0.62957,                 0.2638,                 1.1519,               0.004753,               0.004753,               0.004753
                    108,                0.68351,                0.37467,                 1.1336,                0.96711,                0.98154,                0.98876,                0.86686,                0.62921,                0.26409,                 1.1516,              0.0047035,              0.0047035,              0.0047035
                    109,                0.67329,                 0.3718,                 1.1302,                0.96746,                0.98128,                0.98889,                0.86729,                0.62877,                0.26387,                 1.1512,               0.004654,               0.004654,               0.004654
                    110,                0.67455,                0.37079,                 1.1305,                0.96701,                0.98176,                0.98886,                0.86738,                0.62919,                0.26369,                 1.1516,              0.0046045,              0.0046045,              0.0046045
                    111,                0.67738,                 0.3716,                 1.1322,                0.96712,                0.98213,                0.98892,                0.86749,                0.62924,                0.26338,                 1.1513,               0.004555,               0.004555,               0.004555
                    112,                0.67741,                0.37282,                 1.1292,                0.96794,                0.98312,                0.98899,                0.86726,                0.62888,                0.26333,                 1.1509,              0.0045055,              0.0045055,              0.0045055
                    113,                0.66098,                0.36186,                 1.1241,                 0.9681,                0.98244,                  0.989,                0.86682,                0.62874,                0.26363,                 1.1503,               0.004456,               0.004456,               0.004456
                    114,                0.67442,                0.36957,                 1.1293,                0.96908,                0.98082,                0.98889,                0.86699,                0.62854,                0.26333,                 1.1499,              0.0044065,              0.0044065,              0.0044065
                    115,                0.66381,                0.36308,                 1.1299,                0.96956,                0.98055,                0.98889,                 0.8671,                0.62822,                0.26315,                 1.1494,               0.004357,               0.004357,               0.004357
                    116,                0.66552,                0.36324,                 1.1293,                0.96863,                0.98144,                0.98895,                0.86781,                0.62835,                0.26287,                 1.1495,              0.0043075,              0.0043075,              0.0043075
                    117,                0.67674,                 0.3634,                 1.1305,                0.96958,                0.98067,                0.98896,                0.86756,                0.62817,                0.26313,                 1.1493,               0.004258,               0.004258,               0.004258
                    118,                0.66514,                0.36084,                 1.1252,                0.96967,                0.98055,                0.98896,                0.86695,                 0.6284,                0.26331,                 1.1497,              0.0042085,              0.0042085,              0.0042085
                    119,                0.65926,                0.36339,                 1.1241,                0.97018,                0.98054,                0.98896,                0.86707,                0.62847,                0.26339,                 1.1496,               0.004159,               0.004159,               0.004159
                    120,                0.66234,                0.36229,                 1.1255,                0.97111,                0.97908,                0.98892,                0.86726,                 0.6284,                0.26373,                 1.1495,              0.0041095,              0.0041095,              0.0041095
                    121,                0.65723,                0.35729,                 1.1208,                 0.9701,                0.98022,                0.98891,                0.86731,                0.62842,                0.26344,                 1.1498,                0.00406,                0.00406,                0.00406
                    122,                0.65593,                0.35797,                 1.1221,                0.96936,                0.98004,                0.98893,                 0.8677,                0.62865,                0.26344,                   1.15,              0.0040105,              0.0040105,              0.0040105
                    123,                0.65881,                0.35862,                 1.1269,                0.96865,                0.98169,                0.98875,                0.86778,                0.62932,                0.26321,                 1.1509,               0.003961,               0.003961,               0.003961
                    124,                0.65807,                0.35486,                 1.1201,                0.96824,                0.98293,                0.98881,                0.86785,                0.62956,                0.26306,                 1.1514,              0.0039115,              0.0039115,              0.0039115
                    125,                0.65573,                0.35844,                 1.1225,                0.96846,                0.98199,                0.98882,                0.86783,                 0.6297,                0.26295,                 1.1517,               0.003862,               0.003862,               0.003862
                    126,                0.65089,                0.35278,                 1.1158,                0.96858,                  0.982,                0.98885,                0.86764,                0.62891,                0.26312,                 1.1504,              0.0038125,              0.0038125,              0.0038125
                    127,                0.65787,                 0.3564,                 1.1207,                0.96894,                0.98086,                0.98887,                0.86746,                0.62836,                0.26281,                 1.1499,               0.003763,               0.003763,               0.003763
                    128,                 0.6571,                0.35736,                 1.1198,                  0.969,                0.98078,                0.98887,                0.86744,                0.62876,                0.26274,                 1.1506,              0.0037135,              0.0037135,              0.0037135
                    129,                0.65182,                0.35587,                 1.1172,                0.96906,                0.98084,                0.98893,                0.86802,                0.62888,                 0.2627,                  1.151,               0.003664,               0.003664,               0.003664
                    130,                0.64686,                0.35275,                 1.1168,                0.96911,                0.98107,                0.98892,                0.86772,                 0.6288,                0.26219,                 1.1509,              0.0036145,              0.0036145,              0.0036145
                    131,                0.64114,                0.35026,                 1.1129,                0.96927,                0.98108,                0.98888,                0.86767,                0.62883,                0.26188,                 1.1511,               0.003565,               0.003565,               0.003565
                    132,                0.64425,                0.34514,                 1.1141,                0.96795,                0.98237,                0.98881,                0.86792,                0.62882,                 0.2617,                 1.1511,              0.0035155,              0.0035155,              0.0035155
