Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@BestBuy,https://twitter.com/BestBuy/status/1417956523121197060#m,Posted,"Jul 21, 2021 · 9:15 PM UTC",Washers are like water parks for your clothes.,https://twitter.com/BestBuy/status/1417956523121197060#m,140,7,17,28
@BestBuy,https://twitter.com/BestBuy/status/1417588576511012870#m,Posted,"Jul 20, 2021 · 8:53 PM UTC",Let’s find the right school laptop for you. https://bby.me/3r8asb,https://twitter.com/BestBuy/status/1417588576511012870#m,33,0,10,12
@BestBuy,https://twitter.com/BestBuy/status/1417195850909077510#m,Posted,"Jul 19, 2021 · 6:53 PM UTC","With the Dyson Airwrap Styler and a few tips from Agent Bennett, your hair is going to look amazing. https://bby.me/bhravw",https://twitter.com/BestBuy/status/1417195850909077510#m,33,0,8,4
@BestBuy,https://twitter.com/BestBuy/status/1416161263168770050#m,Posted,"Jul 16, 2021 · 10:22 PM UTC",Who's the superior Loki?,https://twitter.com/BestBuy/status/1416161263168770050#m,65,3,9,31
@BestBuy,https://twitter.com/BestBuy/status/1416122863917076481#m,Posted,"Jul 16, 2021 · 7:49 PM UTC",The coolest tech is ENERGY STAR certified. It helps lower your bills and your carbon footprint. And we'll help you find the right solutions for your home. https://bby.me/tnc9v3,https://twitter.com/BestBuy/status/1416122863917076481#m,25,0,7,8
@Di3seL_,https://twitter.com/Di3seL_/status/1415796223710138368#m,Posted,"Jul 15, 2021 · 10:11 PM UTC","Summer gaming hit different as a kid. No more homework or bedtimes to worry about. Getting lost in a game without worrying about getting grounded or falling asleep at school, couldn't be beat.  Enter the Matrix was that game for me.  What's yours?  #BestBuyPartner @BestBuy",https://twitter.com/Di3seL_/status/1415796223710138368#m,245,1,11,28
@Di3seL_,@originaluser,Retweet,"Jul 15, 2021 · 10:11 PM UTC","Summer gaming hit different as a kid. No more homework or bedtimes to worry about. Getting lost in a game without worrying about getting grounded or falling asleep at school, couldn't be beat.  Enter the Matrix was that game for me.  What's yours?  #BestBuyPartner @BestBuy",https://twitter.com/Di3seL_/status/1415796223710138368#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1415687607929868289#m,Posted,"Jul 15, 2021 · 3:00 PM UTC","We are proud to introduce Ilana. Watch ""Lifelines"" and visit the link below to learn more about all the ways tech is a lifeline to safe spaces for the LGBTQIA+ community. https://bby.me/da6u9m #MoreofThis #Pride",https://twitter.com/BestBuy/status/1415687607929868289#m,36,2,9,8
@BestBuy,https://twitter.com/BestBuy/status/1415412849300623368#m,Posted,"Jul 14, 2021 · 8:48 PM UTC",Recycle old tech. This haiku will teach you how. Bring it to Best Buy.,https://twitter.com/BestBuy/status/1415412849300623368#m,68,0,7,20
@slashfilm,https://twitter.com/slashfilm/status/1414981555542503427#m,Posted,"Jul 13, 2021 · 4:14 PM UTC",Take in all those stunning Italian vistas in 4K. Here’s an exclusive look at the new #Luca Steelbook.  https://www.slashfilm.com/luca-steelbook-at-best-buy/?utm_source=twitter.com&utm_campaign=twitter,https://twitter.com/slashfilm/status/1414981555542503427#m,38,0,6,7
@slashfilm,@originaluser,Retweet,"Jul 13, 2021 · 4:14 PM UTC",Take in all those stunning Italian vistas in 4K. Here’s an exclusive look at the new #Luca Steelbook.  https://www.slashfilm.com/luca-steelbook-at-best-buy/?utm_source=twitter.com&utm_campaign=twitter,https://twitter.com/slashfilm/status/1414981555542503427#m,,,,
@BBYNews,https://twitter.com/BBYNews/status/1415350861233106944#m,Posted,"Jul 14, 2021 · 4:41 PM UTC",Best Buy customers can now donate to Teen Tech Centers at checkout https://bby.me/qdhmca,https://twitter.com/BBYNews/status/1415350861233106944#m,25,0,8,8
